path	upstream_delta	project_relation	resolution	schema_affected	template_meta	rationale
.agents/skills/docs-cleanup/SKILL.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
.agents/skills/docs-inventory/SKILL.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
.agents/skills/docs-prep/SKILL.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
.agents/skills/docs-template-migration/SKILL.md	unchanged	customized-shared	keep	no	no	no upstream change
.agents/skills/frontend-design/SKILL.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
.agents/skills/implementation-prep/SKILL.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
.agents/skills/post-implementation/SKILL.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
.agents/skills/qa-prep/SKILL.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
.agents/skills/qa-review/SKILL.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
.agents/skills/test-maintenance/SKILL.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
.claude/settings.json	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
.claude/skills/docs-cleanup/SKILL.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
.claude/skills/docs-inventory/SKILL.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
.claude/skills/docs-prep/SKILL.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
.claude/skills/docs-template-migration/SKILL.md	unchanged	customized-shared	keep	no	no	no upstream change
.claude/skills/implementation-prep/SKILL.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
.claude/skills/post-implementation/SKILL.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
.claude/skills/qa-prep/SKILL.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
.claude/skills/qa-review/SKILL.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
.claude/skills/test-maintenance/SKILL.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
.codex/hooks.json	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
.fvmrc	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
.gitattributes	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
.github/workflows/docs-ci.yml	modified	customized-shared	merge	no	no	retain Backcast ACMR scope and downstream lint set; template-only starter expansion job is not applicable
.gitignore	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
.markdownlint.jsonc	unchanged	customized-shared	keep	no	no	no upstream change
.metadata	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
.template-legacy/README.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
.template-legacy/standards/jj_workflow.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
.vscode/extensions.json	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
.vscode/settings.json	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
AGENTS.md	unchanged	customized-shared	keep	no	no	no upstream change
CLAUDE.md	unchanged	customized-shared	keep	no	no	no upstream change
LICENSE.txt	unchanged	customized-shared	keep	no	no	no upstream change
QUICKSTART.md	modified	customized-shared	keep	no	no	preserve the project-approved absence; the established project uses _docs/documentation_guide.md
README.md	modified	customized-shared	keep	no	no	preserve the Medo product README; v1.2 template initialization guidance is not a downstream product concern
