# docs-template v1.0.0 migration inventory
# B=1f7c92c53fa9df63de05da046a049507fcb4efac (owner-authorized synthetic comparison baseline; NOT an exact adoption record)
# U=v1.0.0@f71e9ab20466ea2972158334261f5ae2b2265754
# P=7990a6c68e9b6c0a25e6bc4ed41e7add5b6866a3 (clean owner-approved cutoff; isolated worktree)
# project relation override: every P-present B/U overlap is customized-shared because P is a mixed bundle
# resolution values: apply|merge|keep|remove|defer; disposition records non-destructive handling separately
path	upstream_delta	project_relation	resolution	disposition	rationale
.agents/skills/docs-cleanup/SKILL.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
.agents/skills/docs-inventory/SKILL.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.agents/skills/docs-prep/SKILL.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
.agents/skills/docs-template-migration/SKILL.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.agents/skills/frontend-design/SKILL.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
.agents/skills/implementation-prep/SKILL.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
.agents/skills/post-implementation/SKILL.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
.agents/skills/qa-prep/SKILL.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
.agents/skills/qa-review/SKILL.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
.agents/skills/test-maintenance/SKILL.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
.claude/settings.json	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.claude/skills/docs-cleanup/SKILL.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.claude/skills/docs-inventory/SKILL.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.claude/skills/docs-prep/SKILL.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.claude/skills/docs-template-migration/SKILL.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.claude/skills/implementation-prep/SKILL.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.claude/skills/post-implementation/SKILL.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.claude/skills/qa-prep/SKILL.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.claude/skills/qa-review/SKILL.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.claude/skills/test-maintenance/SKILL.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.codex/hooks.json	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.fvmrc	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
.github/workflows/docs-ci.yml	M	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
.gitignore	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
